"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FAM214A",1.54528051051391e-60,-1.68791553623743,0.036,0.11,4.18956452010532e-56
"NAMPT",1.64837984073442e-60,-1.25645653622596,0.163,0.28,4.46908742419915e-56
"SQOR",1.75170832414786e-60,1.40011185013492,0.174,0.069,4.74923160842968e-56
"TRAM1",2.0719945551837e-60,0.866742684638054,0.308,0.174,5.61759163801406e-56
"CNDP2",2.93497432807999e-60,1.16411717907598,0.208,0.094,7.95730239829047e-56
"NDUFA1",4.3732385655828e-60,0.699189527066559,0.407,0.262,1.18567243990081e-55
"CCDC80",5.14725791339795e-60,-0.987270077960439,0.077,0.172,1.39552456548045e-55
"AL159141.1",5.89292196962499e-60,1.63245393187897,0.119,0.032,1.59768900440473e-55
"MOB1A",6.72391626770359e-60,1.17569518795741,0.206,0.093,1.8229881784998e-55
"NXT1",6.74770418951288e-60,-1.45858100000825,0.059,0.146,1.82943755986073e-55
"TBC1D4",7.51027376501187e-60,-1.77616025807327,0.038,0.113,2.03618542317002e-55
"ARL6IP5",7.90640814617042e-60,0.644530577801367,0.42,0.274,2.14358537658972e-55
