"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070661","leukocyte proliferation","60/926","356/18860",0.168539325842697,3.43266920668818,10.5293481986835,3.45408625689007e-17,7.84828468630761e-15,5.53286128105961e-15,"TYROBP/LAPTM5/AIF1/FCGR3A/HLA-DRB1/HLA-DPA1/HLA-DPB1/TREM2/HLA-DMB/CD74/CSF1R/VSIG4/MNDA/CD86/LILRB4/HLA-A/LST1/PTPRC/SLC11A1/LGALS9/LIPA/LYN/CD4/GPNMB/IL18/FCGR2B/GPR183/IL4I1/TNFSF13B/HAVCR2/CD300A/PYCARD/CD37/CD81/SYK/NCKAP1L/LILRB2/IL1B/GSTP1/HLA-E/LILRB1/CSF2RA/MEF2C/VSIR/TGFB1/TNFRSF1B/BID/BST2/CORO1A/BAX/MSN/DOCK2/PTPN6/LGALS3/CD40/RAC2/ZNHIT1/IL7R/INPP5D/DOCK8",60
"GO:0051251","positive regulation of lymphocyte activation","59/926","346/18860",0.170520231213873,3.47301464437758,10.5497179478712,3.63593051766646e-17,7.91723870221871e-15,5.58147228589149e-15,"TYROBP/AIF1/FCGR3A/HLA-DRB1/HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DQB1/SPI1/HLA-DMB/HLA-DQA1/HLA-DRB5/CD74/LGALS1/CD86/LILRB4/HLA-A/B2M/PTPRC/LGALS9/GRB2/LYN/CD4/ACTB/RHOA/IL18/CLEC7A/GPR183/IL4I1/TNFSF13B/HAVCR2/PYCARD/CD81/SYK/NCKAP1L/LILRB2/IL1B/HLA-DOA/HLA-E/LILRB1/HLA-DQA2/SIRPA/MEF2C/GPR65/VSIR/TGFB1/ADAM8/MMP14/CORO1A/CSK/PTPN6/THY1/SH3KBP1/CD40/IL7R/INPP5D/CD47/DOCK8/DDRGK1",59
"GO:0002443","leukocyte mediated immunity","72/926","488/18860",0.147540983606557,3.00499238749425,10.1969587291054,4.06199514264082e-17,8.49119464617638e-15,5.98609810494437e-15,"TYROBP/FCER1G/FCGR3A/HLA-DRB1/HLA-DRA/ITGB2/CTSC/C1QC/SPI1/CTSH/C1QA/TREM2/HLA-C/C1QB/CD74/FCGR1A/LILRB4/HLA-A/HLA-B/B2M/CD84/CCL3/PTPRC/LGALS9/GRB2/VAMP8/PRDX1/LYN/IL18/CLEC7A/ARRB2/FCGR2B/IL4I1/HCST/HAVCR2/CD300A/CD81/SYK/UNC93B1/NCKAP1L/IGHG4/IL1B/LAT2/HLA-E/TREM1/LILRB1/SCIMP/WAS/TGFB1/TNFRSF1B/IGHG3/BST2/TUBB/CORO1A/SLAMF7/LAMP1/IGHG1/PTPN6/STX7/HLA-F/STXBP2/CD40/C3/RAC2/TNF/IL7R/INPP5D/WDR1/ARL8B/IGLC2/STX4/IGHA1",72
"GO:0034341","response to type II interferon","35/926","129/18860",0.271317829457364,5.52597652652904,11.720682763142,4.37059426157278e-17,8.7848944657613e-15,6.19314976336225e-15,"AIF1/HLA-DPA1/CD74/GAPDH/CCL3/CXCL16/HCK/SLC11A1/LGALS9/MRC1/VIM/ACTR2/ACTR3/STAT1/IFNGR1/SIRPA/KYNU/TLR2/WAS/IFNGR2/IRF8/BST2/CDC42/CASP1/PARP14/CD58/STXBP2/CD40/ZYX/TNF/SEC61A1/CD47/PARP9/GBP1/STX4",35
"GO:0015980","energy derivation by oxidation of organic compounds","67/926","434/18860",0.154377880184332,3.14424062664849,10.2690221945412,5.06266594238892e-17,9.79907119071277e-15,6.90812116895174e-15,"ATP5F1E/GAPDH/PGK1/LIPA/UQCR10/NDUFB2/RHOA/PKM/UCP2/MACROH2A1/ENO1/GAA/TPI1/COX7B/ATP5PD/HK3/COX6B1/NDUFA3/IDH1/COX5B/BID/COX5A/NDUFA6/NDUFB3/ATP5PB/COMT/UQCRQ/ADPGK/NDUFA1/OAS1/NDUFB1/IFNAR1/PPIF/ATP5PF/MTCH2/COX7A2/FBP1/NDUFAB1/ATG3/NDUFA2/DNAJC15/PPP1CA/ATP5F1C/PARK7/NDUFS6/SELENOS/LDHA/BCKDK/UQCC2/ATP5ME/CYC1/ANTKMT/HIF1A/UQCRC1/GHITM/IDH2/TNF/NDUFS8/PRELID1/NDUFB11/NDUFS7/PFKL/NDUFA12/NDUFB5/MTLN/ETFB/CAT",67
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","53/926","289/18860",0.183391003460208,3.73515585881157,10.6473025810641,6.15052229482673e-17,1.1479510540273e-14,8.09279249319307e-15,"AIF1/HLA-DRB1/HLA-DPA1/HLA-DRA/ITGB2/HLA-DPB1/HLA-DQB1/HLA-DMB/HLA-DQA1/HLA-DRB5/CD74/LGALS1/CD86/LILRB4/HLA-A/B2M/PTPRC/LGALS9/GRB2/LYN/CD4/ACTB/RHOA/IL18/IL4I1/TNFSF13B/HAVCR2/PYCARD/CD81/SYK/ALOX5/NCKAP1L/LILRB2/IL1B/HLA-DOA/HLA-E/LILRB1/HLA-DQA2/SIRPA/GPR65/VSIR/TGFB1/CD44/ADAM8/CORO1A/ITGA4/CSK/PTPN6/THY1/TNF/IL7R/CD47/DOCK8",53
"GO:0046651","lymphocyte proliferation","55/926","312/18860",0.176282051282051,3.5903666168245,10.4837396865889,9.73133151095814e-17,1.75365305090577e-14,1.23628530992209e-14,"TYROBP/LAPTM5/AIF1/FCGR3A/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMB/CD74/VSIG4/MNDA/CD86/LILRB4/HLA-A/LST1/PTPRC/SLC11A1/LGALS9/LIPA/LYN/CD4/GPNMB/IL18/FCGR2B/GPR183/IL4I1/TNFSF13B/HAVCR2/CD300A/PYCARD/CD37/CD81/SYK/NCKAP1L/LILRB2/IL1B/HLA-E/LILRB1/MEF2C/VSIR/TGFB1/TNFRSF1B/BID/CORO1A/BAX/MSN/DOCK2/PTPN6/LGALS3/CD40/RAC2/ZNHIT1/IL7R/INPP5D/DOCK8",55
"GO:0001909","leukocyte mediated cytotoxicity","38/926","157/18860",0.24203821656051,4.92963365478532,11.2349849439068,1.29601325978181e-16,2.2004986307054e-14,1.55130122816462e-14,"TYROBP/FCGR3A/HLA-DRB1/HLA-DRA/CTSC/SPI1/CTSH/HLA-C/FCGR1A/HLA-A/HLA-B/B2M/PTPRC/LGALS9/GRB2/PRDX1/IL18/ARRB2/FCGR2B/HCST/HAVCR2/NCKAP1L/HLA-E/TREM1/LILRB1/TGFB1/TUBB/CORO1A/SLAMF7/LAMP1/IGHG1/PTPN6/STX7/HLA-F/STXBP2/IL7R/INPP5D/ARL8B",38
"GO:0070663","regulation of leukocyte proliferation","52/926","284/18860",0.183098591549296,3.72920025552885,10.5303962342544,1.30530917626995e-16,2.2004986307054e-14,1.55130122816462e-14,"TYROBP/LAPTM5/AIF1/FCGR3A/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMB/CD74/CSF1R/VSIG4/MNDA/CD86/LILRB4/HLA-A/LST1/PTPRC/LGALS9/LYN/CD4/GPNMB/IL18/FCGR2B/GPR183/IL4I1/TNFSF13B/HAVCR2/CD300A/PYCARD/CD37/CD81/SYK/NCKAP1L/LILRB2/IL1B/GSTP1/HLA-E/LILRB1/CSF2RA/MEF2C/VSIR/TGFB1/TNFRSF1B/BID/BST2/CORO1A/PTPN6/LGALS3/CD40/RAC2/ZNHIT1/INPP5D",52
"GO:0030100","regulation of endocytosis","55/926","318/18860",0.172955974842767,3.52262385046932,10.3089399539508,2.31718990237067e-16,3.78426075930911e-14,2.66781732180834e-14,"CYBA/FCER1G/CD14/APOC1/TREM2/FCGR1A/APOE/CD63/B2M/AP2S1/PTPRC/HCK/SLC11A1/LRP1/ANXA2/PPT1/ACTB/SDCBP/CLEC7A/ARRB2/FCGR2B/RAB31/MERTK/CD300A/PYCARD/CALR/SYK/LRPAP1/NCKAP1L/CD36/RAC1/LILRB1/SIRPA/TLR2/TGFB1/CALM3/BMP2K/AP2M1/SNX3/DOCK2/CDC42/ARF1/RALA/LMAN2/CSK/ATG3/PARK7/RAP1A/LGALS3/ARAP1/PTPN1/C3/CD47/ITGAV/ZFYVE16",55
